NamaProduk,NamaWilayah,Tanggal,Jumlah,TotalPenjualan,Negara
Stove,North Region,6/22/2023,11,407869,Singapura
Stove,North Region,6/22/2023,11,407869,Singapura
Stove,North Region,6/22/2023,11,407869,Singapura
Stove,North Region,6/22/2023,11,407869,Singapura
Stove,North Region,6/22/2023,11,407869,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Chair,North-East Region,5/30/2023,4,207516,Singapura
Heater,Kuala Lumpur,4/27/2023,4,107936,Malaysia
Heater,Kuala Lumpur,4/27/2023,4,107936,Malaysia
Heater,Kuala Lumpur,4/27/2023,4,107936,Malaysia
Heater,Kuala Lumpur,4/27/2023,4,107936,Malaysia
Fan,Kuala Lumpur,6/17/2023,9,353133,Malaysia
Fan,Kuala Lumpur,6/17/2023,9,353133,Malaysia
Fan,Kuala Lumpur,6/17/2023,9,353133,Malaysia
Fan,Kuala Lumpur,6/17/2023,9,353133,Malaysia
Chair,East Region,1/7/2024,13,547222,Singapura
Chair,East Region,1/7/2024,13,547222,Singapura
Chair,East Region,1/7/2024,13,547222,Singapura
Chair,East Region,1/7/2024,13,547222,Singapura
Chair,East Region,1/7/2024,13,547222,Singapura
Hair Dryer,Kuala Lumpur,2/22/2023,10,852210,Malaysia
Hair Dryer,Kuala Lumpur,2/22/2023,10,852210,Malaysia
Hair Dryer,Kuala Lumpur,2/22/2023,10,852210,Malaysia
Hair Dryer,Kuala Lumpur,2/22/2023,10,852210,Malaysia
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Refrigerator,North-East Region,1/2/2023,16,340592,Singapura
Lamp,Jakarta,10/26/2023,19,1695921,Indonesia
Lamp,Jakarta,10/26/2023,19,1695921,Indonesia
Lamp,Jakarta,10/26/2023,19,1695921,Indonesia
Lamp,Jakarta,10/26/2023,19,1695921,Indonesia
Lamp,Jakarta,10/26/2023,19,1695921,Indonesia
Chair,Central Region,1/7/2024,3,176253,Singapura
Chair,Central Region,1/7/2024,3,176253,Singapura
Chair,Central Region,1/7/2024,3,176253,Singapura
Chair,Central Region,1/7/2024,3,176253,Singapura
Chair,Central Region,1/7/2024,3,176253,Singapura
Chair,Central Region,1/7/2024,3,176253,Singapura
Fan,Kuching,10/22/2024,8,738656,Malaysia
Fan,Kuching,10/22/2024,8,738656,Malaysia
Fan,Kuching,10/22/2024,8,738656,Malaysia
Fan,Kuching,10/22/2024,8,738656,Malaysia
Rice Cooker,North Region,7/4/2024,14,1236732,Singapura
Rice Cooker,North Region,7/4/2024,14,1236732,Singapura
Rice Cooker,North Region,7/4/2024,14,1236732,Singapura
Rice Cooker,North Region,7/4/2024,14,1236732,Singapura
Rice Cooker,North Region,7/4/2024,14,1236732,Singapura
Blender,East Region,9/27/2024,11,822514,Singapura
Blender,East Region,9/27/2024,11,822514,Singapura
Blender,East Region,9/27/2024,11,822514,Singapura
Blender,East Region,9/27/2024,11,822514,Singapura
Blender,East Region,9/27/2024,11,822514,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Air Purifier,West Region,1/21/2024,7,240604,Singapura
Lamp,North Region,5/19/2024,20,1438700,Singapura
Lamp,North Region,5/19/2024,20,1438700,Singapura
Lamp,North Region,5/19/2024,20,1438700,Singapura
Lamp,North Region,5/19/2024,20,1438700,Singapura
Lamp,North Region,5/19/2024,20,1438700,Singapura
Toaster,Bandung,4/21/2024,2,151968,Indonesia
Toaster,Bandung,4/21/2024,2,151968,Indonesia
Sofa,Bandung,2/13/2024,11,856251,Indonesia
Sofa,Bandung,2/13/2024,11,856251,Indonesia
Curtains,Kuantan,8/6/2023,6,503826,Malaysia
Curtains,Kuantan,8/6/2023,6,503826,Malaysia
Curtains,Kuantan,8/6/2023,6,503826,Malaysia
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Air Purifier,North-East Region,2/23/2024,6,586056,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Carpet,North-East Region,9/2/2024,18,112752,Singapura
Fan,Yogyakarta,7/10/2024,19,994080,Indonesia
Fan,Yogyakarta,7/10/2024,19,994080,Indonesia
Fan,Yogyakarta,7/10/2024,19,994080,Indonesia
Fan,Yogyakarta,7/10/2024,19,994080,Indonesia
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Table,North-East Region,6/29/2024,4,267508,Singapura
Coffee Maker,Kuala Lumpur,5/14/2023,10,901130,Malaysia
Coffee Maker,Kuala Lumpur,5/14/2023,10,901130,Malaysia
Coffee Maker,Kuala Lumpur,5/14/2023,10,901130,Malaysia
Coffee Maker,Kuala Lumpur,5/14/2023,10,901130,Malaysia
Refrigerator,George Town,1/6/2023,15,710715,Malaysia
Refrigerator,George Town,1/6/2023,15,710715,Malaysia
Refrigerator,George Town,1/6/2023,15,710715,Malaysia
Refrigerator,George Town,1/6/2023,15,710715,Malaysia
Iron,East Region,6/29/2024,3,229728,Singapura
Iron,East Region,6/29/2024,3,229728,Singapura
Iron,East Region,6/29/2024,3,229728,Singapura
Iron,East Region,6/29/2024,3,229728,Singapura
Iron,East Region,6/29/2024,3,229728,Singapura
Heater,Johor Bahru,4/1/2023,18,1129050,Malaysia
Heater,Johor Bahru,4/1/2023,18,1129050,Malaysia
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Lamp,West Region,10/5/2024,12,494124,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Refrigerator,West Region,11/20/2023,20,947620,Singapura
Iron,Medan,3/9/2024,3,178626,Indonesia
Iron,Medan,3/9/2024,3,178626,Indonesia
Iron,Medan,3/9/2024,3,178626,Indonesia
Iron,Medan,3/9/2024,3,178626,Indonesia
Iron,Medan,3/9/2024,3,178626,Indonesia
Sofa,Balikpapan,6/13/2023,20,1487300,Indonesia
Sofa,Balikpapan,6/13/2023,20,1487300,Indonesia
Sofa,Balikpapan,6/13/2023,20,1487300,Indonesia
Sofa,Balikpapan,6/13/2023,20,1487300,Indonesia
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Stove,West Region,8/31/2024,11,973654,Singapura
Rice Cooker,George Town,6/12/2023,3,224613,Malaysia
Rice Cooker,George Town,6/12/2023,3,224613,Malaysia
Rice Cooker,George Town,6/12/2023,3,224613,Malaysia
Rice Cooker,George Town,6/12/2023,3,224613,Malaysia
Microwave Oven,Kuala Lumpur,7/10/2024,3,97872,Malaysia
Microwave Oven,Kuala Lumpur,7/10/2024,3,97872,Malaysia
Microwave Oven,Kuala Lumpur,7/10/2024,3,97872,Malaysia
Microwave Oven,Kuala Lumpur,7/10/2024,3,97872,Malaysia
Toaster,North Region,1/1/2023,5,442620,Singapura
Toaster,North Region,1/1/2023,5,442620,Singapura
Toaster,North Region,1/1/2023,5,442620,Singapura
Toaster,North Region,1/1/2023,5,442620,Singapura
Toaster,North Region,1/1/2023,5,442620,Singapura
Carpet,Makassar,10/12/2024,1,76616,Indonesia
Carpet,Makassar,10/12/2024,1,76616,Indonesia
Table,Central Region,6/9/2023,19,800888,Singapura
Table,Central Region,6/9/2023,19,800888,Singapura
Table,Central Region,6/9/2023,19,800888,Singapura
Table,Central Region,6/9/2023,19,800888,Singapura
Table,Central Region,6/9/2023,19,800888,Singapura
Table,Central Region,6/9/2023,19,800888,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Chair,West Region,7/3/2024,1,40892,Singapura
Microwave Oven,Medan,2/18/2023,18,494910,Indonesia
Microwave Oven,Medan,2/18/2023,18,494910,Indonesia
Microwave Oven,Medan,2/18/2023,18,494910,Indonesia
Microwave Oven,Medan,2/18/2023,18,494910,Indonesia
Microwave Oven,Medan,2/18/2023,18,494910,Indonesia
Fan,Kuantan,1/31/2023,5,288560,Malaysia
Fan,Kuantan,1/31/2023,5,288560,Malaysia
Fan,Kuantan,1/31/2023,5,288560,Malaysia
Chair,Kuantan,8/17/2023,16,1541056,Malaysia
Chair,Kuantan,8/17/2023,16,1541056,Malaysia
Chair,Kuantan,8/17/2023,16,1541056,Malaysia
Electric Kettle,Semarang,1/6/2024,17,1449641,Indonesia
Electric Kettle,Semarang,1/6/2024,17,1449641,Indonesia
Electric Kettle,Semarang,1/6/2024,17,1449641,Indonesia
Electric Kettle,Semarang,1/6/2024,17,1449641,Indonesia
Electric Kettle,Semarang,1/6/2024,17,1449641,Indonesia
Heater,Semarang,1/9/2023,15,1319565,Indonesia
Heater,Semarang,1/9/2023,15,1319565,Indonesia
Heater,Semarang,1/9/2023,15,1319565,Indonesia
Heater,Semarang,1/9/2023,15,1319565,Indonesia
Heater,Semarang,1/9/2023,15,1319565,Indonesia
Chair,Jakarta,5/10/2024,13,515463,Indonesia
Chair,Jakarta,5/10/2024,13,515463,Indonesia
Chair,Jakarta,5/10/2024,13,515463,Indonesia
Chair,Jakarta,5/10/2024,13,515463,Indonesia
Chair,Jakarta,5/10/2024,13,515463,Indonesia
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Electric Kettle,North-East Region,7/24/2023,14,275660,Singapura
Lamp,Bandung,10/21/2023,7,91182,Indonesia
Lamp,Bandung,10/21/2023,7,91182,Indonesia
Washing Machine,Semarang,9/25/2024,20,247800,Indonesia
Washing Machine,Semarang,9/25/2024,20,247800,Indonesia
Washing Machine,Semarang,9/25/2024,20,247800,Indonesia
Washing Machine,Semarang,9/25/2024,20,247800,Indonesia
Washing Machine,Semarang,9/25/2024,20,247800,Indonesia
Rice Cooker,Surabaya,5/31/2023,16,632928,Indonesia
Stove,Kuala Lumpur,3/24/2023,13,1087606,Malaysia
Stove,Kuala Lumpur,3/24/2023,13,1087606,Malaysia
Stove,Kuala Lumpur,3/24/2023,13,1087606,Malaysia
Stove,Kuala Lumpur,3/24/2023,13,1087606,Malaysia
Heater,North Region,3/29/2023,1,14074,Singapura
Heater,North Region,3/29/2023,1,14074,Singapura
Heater,North Region,3/29/2023,1,14074,Singapura
Heater,North Region,3/29/2023,1,14074,Singapura
Heater,North Region,3/29/2023,1,14074,Singapura
Refrigerator,Ipoh,8/23/2024,7,499436,Malaysia
Refrigerator,Ipoh,8/23/2024,7,499436,Malaysia
Refrigerator,Ipoh,8/23/2024,7,499436,Malaysia
Refrigerator,Ipoh,8/23/2024,7,499436,Malaysia
Refrigerator,Ipoh,8/23/2024,7,499436,Malaysia
Washing Machine,Medan,4/11/2024,3,58260,Indonesia
Washing Machine,Medan,4/11/2024,3,58260,Indonesia
Washing Machine,Medan,4/11/2024,3,58260,Indonesia
Washing Machine,Medan,4/11/2024,3,58260,Indonesia
Washing Machine,Medan,4/11/2024,3,58260,Indonesia
Carpet,George Town,5/22/2023,1,89405,Malaysia
Carpet,George Town,5/22/2023,1,89405,Malaysia
Carpet,George Town,5/22/2023,1,89405,Malaysia
Carpet,George Town,5/22/2023,1,89405,Malaysia
